country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2026-08-07 11:00:00,16.6870449,74.2505872,PM10,13.0,23.0,17.0
India,Maharashtra,Kolhapur,"Shivaji University, Kolhapur - MPCB",2026-08-07 11:00:00,16.6870449,74.2505872,SO2,1.0,2.0,2.0
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2026-08-07 11:00:00,20.555712,74.529236,CO,13.0,29.0,19.0
India,Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",2026-08-07 11:00:00,20.555712,74.529236,OZONE,10.0,11.0,11.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2026-08-07 11:00:00,19.296481,72.840923,PM2.5,11.0,39.0,27.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2026-08-07 11:00:00,19.296481,72.840923,NH3,4.0,4.0,4.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2026-08-07 11:00:00,19.296481,72.840923,SO2,2.0,3.0,3.0
India,Maharashtra,Mira-Bhayandar,"Bhayandar West, Mira-Bhayandar - MPCB",2026-08-07 11:00:00,19.296481,72.840923,OZONE,9.0,25.0,16.0
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",2026-08-07 11:00:00,19.215859,72.831718,NO2,7.0,19.0,11.0
India,Maharashtra,Mumbai,"Kandivali West, Mumbai - BMC",2026-08-07 11:00:00,19.215859,72.831718,OZONE,25.0,31.0,27.0
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB",2026-08-07 11:00:00,19.0364585,72.8954371,CO,11.0,19.0,15.0
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC",2026-08-07 11:00:00,18.9767,72.838,CO,2.0,12.0,6.0
